State Name (state_name),State Code (state_code),Forest division name (division),Forest range name (range),Forest Conservation Act project (fca_project),Year of initiation of project (fca_project_year),Name of the site (site_name),Area diverted in hectares (area_diverted),Type of land (land_type),Updated on (updated_on),Updated by (updated_by),Diverted land GPS identifier (diverted_land_gps_id),
Punjab,3,Amritsar,Patti,APP. RD. TO RETAIL OUTLET OF IBP. CO. LTD. AT VILL. BOOH [22244],2007,APP. RD. TO RETAIL OUTLET OF IBP. CO. LTD. AT VILL. BOOH,0.033,Protected Forest (PF),06-03-2014,DFO Amritsar,1229,
Uttar Pradesh,9,Forest Division Obra,Kon,NAWATOLA LINK ROAD UNDER AMBEDKAR GVY [23338],2011,HARRA-3,0.15,Sec 4 IFA,28-04-2015,DFO Forest Division Obra,3796,
Punjab,3,Dasuya,Talwara-2,CONST. OF RETAIL OUTLET HPCL AT VILLAGE BHATTER ON TALWARA DAULATPUR ROAD FT. DIVN. DASUYA [20305],2010,Talwara Daultpur Road,0.18,Sec 4 IFA,27-11-2015,DFO Dasuya,6768,
Punjab,3,Sangrur,Malerkotla,SETTING UP OF MINI HYDEL PROJECT AT KBCRD 144-145 L/S (KILLA) FOREST DIV [21628],2004,KBC Rd 144-145 LS,0.7,CA Land Received under FCA Proposal,23-01-2016,DFO Sangrur,7084,
Haryana,6,Bhiwani(West Circle Hissar),Bhiwani,"DIVERSION OF FOREST LAND ALONG VILLAGE BAWANI KHERA ON BETWEEN KM STONE 128 AND 131 ON SH-17 (NOW NH-148 B) RIGHT HAND SIDE HANSI- BHIWANI ROAD, TEHSI [37111]",2018,"Hansi- Bhiwani Road Km 128 &131, Bawani Khera",0.09,Protected Forest (PF),10-06-2021,DFO Bhiwani(West Circle Hissar),12163,
Madhya Pradesh,23,Chhindwara East(T),Chhindwara,Chhindwara to seoni national highway no. 69 (A) [2221],2011,"15/1 , 236 , 238 , 1/1",0.517,Revenue Forest,26-03-2016,DFO Chhindwara East(T),7509,
Gujarat,24,Jamnagar,Jamjodhpur,"DIVERSION OF 120.7496 HA RESEVED FOREST LAND FOR CONSTRUCTION OF WIND POWER PROJECT IN FAVOUR OF ENERCON (INDIA) LTD. IN DISTRICT JAMNAGAR, GUJARAT [18246]",2012,DIVERSION OF 120.7496 HA RESEVED FOREST LAND FOR CONSTRUCTION OF WIND POWER PROJECT IN FAVOUR OF ENE,120.75,Reserved Forest (RF),10-02-2015,DFO Jamnagar,3337,
Odisha,21,Keonjhar,Badbil,MINING LEASE TO ESSEL MINING INDUSTRIES (DOLOMITE) [10910],2004,Kasia,103.148,Reserved Forest (RF),07-05-2018,DFO Keonjhar,10314,
Odisha,21,Keonjhar,Badbil,TWP BY M/S D.R. PATTNAIK IN MURGABEDA MINING LEASE IN KEONJHAR FOREST DIVISION (IRON ORE) (out of 25.859 Stage -I approval is for 13.904) [10974],2008,Murgebeda,1.391,Revenue Forest,09-05-2018,DFO Keonjhar,10380,
Punjab,3,Ferozepur,Zira,APP.RD. TO RETAIL OUTLET OF IOCL. AT VILL RATTA KHERA [22222],2006,village Ratta Khera Punjab Singh wala on FZR-Moga road km 109-110 R/s,0.143,Protected Forest (PF),17-11-2014,DFO Ferozepur,2443,
Punjab,3,Gurdaspur,Gurdaspur,"APPROACH ROAD TO RETAIL OUTLET OF BPCL AT VILL. VARSOLA ON GURDASPUR-HARDOCHANNI ROAD KM 7-8 R/S, FT. DIVN. GURDASPUR [20272]",2010,"APPROACH ROAD TO RETAIL OUTLET OF BPCL AT VILL. VARSOLA ON GURDASPUR-HARDOCHANNI ROAD KM 7-8 R/S, FT",0.023,Protected Forest (PF),20-03-2016,DFO Gurdaspur,7479,
Punjab,3,Sangrur,Malerkotla,SETTING UP RETAIL OUTLET ON SANGHERA -SHERPUR ROAD KM. 3-4 [21593],2003,Sanghera Road KM 3-4 LS,0.01,CA Land Received under FCA Proposal,23-01-2016,DFO Sangrur,7087,
Punjab,3,Bathinda,Rampura,RETAIL OUTLET ON BHUCHO-WALIANWALI RD. [21223],2005,Bhucho Balianwala Road L/S Village Balianwali,0.012,Protected Forest (PF),10-11-2015,DFO Bathinda,6596,
Uttarakhand,5,"DFO Tehri , New Tehri","RO lambgaon, Tehri",SIRKHOLI - GODADI - KYARKI MOTOR ROAD UNDER PMGSY (3.42 HA.) [30734],2006,Raika Beat,3.42,Reserved Forest (RF),16-10-2014,"DFO Tehri , New Tehri",2284,
Haryana,6,Bhiwani(West Circle Hissar),Dadri,WIDENING AND STRENGTHENING OF MURTHAL-SONEPAT-KHARKHODA-SAMPLA-JHAJJAR DADRI ROAD KM.94.350 TO 113.80 [18932],2008,MURTHAL-SONEPAT-KHARKHODA-SAMPLA-JHAJJAR DADRI ROAD KM.94.350 TO 113.80,1.945,Protected Forest (PF),17-02-2017,DFO Bhiwani(West Circle Hissar),8449,
Punjab,3,Sangrur,Lehrgaga,"CONST. OF ROB LEHRAGAGA ON LEHRAGAGA DUGAL ROAD KM. 0-2 B/S, FOREST DIV. & DISTT. SANGRUR. [22039]",2008,Lehra Dugal Road Km 0-2 b/s,0.531,CA Land Received under FCA Proposal,02-10-2015,DFO Sangrur,6165,
Uttarakhand,5,"DFO Lansdowne, kotdwaar","RO dugadda, lansdowne",400KV DC VISHNUPRAYAG - MUZAFFARNAGAR TL IN F/O UPPCL [3130],2004,"Forest Block Fatehpur, Tutgadhera, Riwali, Jhawanu",75.44,Reserved Forest (RF),09-09-2015,"DFO Lansdowne, kotdwaar",5599,
Punjab,3,Ludhiana,Samrala,APPROACH ROAD TO RETAIL OUTLET OF IOC LTD. AT VILL. GARHI TARKHANA ON SAMRALA-MACCHIWALA ROAD KM 6-7 R/S [20452],2009,Samrala Macchiwara Road,0.035,Protected Forest (PF),16-09-2015,DFO Ludhiana,5872,
Uttarakhand,5,"DFO Ramnagar , Ramnagar","RO Kosi , Ramanagar",BRIDLE PATH TO GIRIJA DEVI TEMPLE ON KOSI RIVER RAMNAGAR [30765],2004,Dhulwa beat comptt. no. 11b,0.043,Reserved Forest (RF),21-07-2015,"DFO Ramnagar , Ramnagar",4341,
Haryana,6,Rohtak,Rohtak,CONST. OF KASRAINTI MINOR WHICH PASSES THROUGH THE EXISTING RURKEE MINOR FROM RD 12000 TO 18050 TAIL RD 21600 TO 30175 ASSAN MINOR 4.46 [18968],2009,RURKEE MINOR FROM RD 12000 TO 18050 TAIL RD 21600 TO 30175 ASSAN MINOR 4.46,4.46,Protected Forest (PF),01-03-2017,DFO Rohtak,8878,
Punjab,3,Ludhiana,Ludhiana,SETTING UP OF MINI HYDEL PLANT ON THE LEFT BANK OF SIDHWANA BRANCH CANAL [22478],2007,Sidhwan branch Canal,0.6,Proposed Protected Forest (Proposed PF),15-09-2015,DFO Ludhiana,5856,
Odisha,21,Keonjhar,Champua,Unchabali (Mahaparbat) Iron Ore Mines,2021,Unchabali Iron Ore Mines,49.339,Unclassified Revenue Forest(With Revenue Department),02-12-2021,DFO Keonjhar,12721,
Uttarakhand,5,"DFO Almora , Almora","RO Dwarahat , Almora",KAFDA-KIROLI-MOTOR ROAD [23237],2007,talle and malle kirole,3.195,Revenue Forest,16-08-2015,"DFO Almora , Almora",4795,
Madhya Pradesh,23,Balaghat North(T),South Lamta,UPPER BAN GANGA PROJECT (SANJAY SAROVAR PROJECT) [1325],2002,878,41.428,Reserved Forest (RF),06-12-2014,DFO Balaghat North(T),2580,
Punjab,3,Hoshiarpur,Hoshiarpur,APP.RD.TO RETAIL OUTLET OF IOC. LTD. AT VILL. BAJWARA KHASRA [22352],2006,"Village Bajwara on Hoshiarpur-Una road, KM Stone 4 L/S, SH-22",0.008,Protected Forest (PF),13-12-2016,DFO Hoshiarpur,8175,
Punjab,3,Ludhiana,Doraha,APP.RD. TO RETAIL OUTLET OF IOCL. AT VILL. MAJRI [22269],2007,Village Majri,0.016,Protected Forest (PF),16-07-2017,DFO Ludhiana,9237,
Karnataka,29,Bellary,Hospet,"Diversion of 34.40 ha. of f/l in Kallahalli (V) of Hospet (T), Bellary for extraction of iron ore in f/o Sri K.R.Kaviraj ML No.2561, Hospet. [2437]",2007,"Kallahalli (V) of Hospet (T), Bellary",34.4,Unclassified Forest,08-07-2014,DFO Bellary,1427,
Uttar Pradesh,9,Social Forestry Division Ballia,Rasra,132 KV MAU-BAILIA TRANSMISSION LINE BY POWER GRID CORPORATION [23880],2003,Rasra Nagra Marg Left Side,0.016,Protected Forest (PF),11-12-2014,DFO Social Forestry Division Ballia,2610,
Punjab,3,Faridkot,Shri Muktsar Sahib,APP. RD. TO RO OF HPCL ON KOTKAPURA-MUKATSAR RD. KM. 29-30 L/S. [21966],2008,Approach road to Retail outlet of HPCL on Kotkapura Muktsar Road KM 29-30 L/s,0.009,Protected Forest (PF),05-01-2015,DFO Faridkot,2942,
Uttarakhand,5,"DFO Champawat , Champawat","RO Lohaghat , Champawat",KOLIDEK SOIL TESTING LABROTARY [10183],2005,KOLIDHEK CIVIL,0.08,Revenue Forest,31-08-2015,"DFO Champawat , Champawat",5338,
Punjab,3,Hoshiarpur,Hoshiarpur,Diversion area of 0.0963 Ha. of Forest Land for access road to the Proposed Reliance Petrol Pump Situated at Village Punga on Phagwara to Hoshiarpur R,2018,Diversion area of 0.0963 Ha. of Forest Land for access road to the Proposed Reliance Petrol Pump Sit,0.096,Protected Forest (PF),16-10-2021,DFO Hoshiarpur,12541,
Gujarat,24,Gandhinagar,Kalol,CONSTRUCTION OF APPROACH ROAD IN FAVOUR OF GANESH PETROLEUM [18053],2007,CONSTRUCTION OF APPROACH ROAD IN FAVOUR OF GANESH PETROLEUM,0.031,Reserved Forest (RF),30-03-2015,DFO Gandhinagar,3595,
Uttarakhand,5,"DFO Almora , Almora","RO Almora , Almora",SHITLAKHET -HARRA MOTOR ROAD [30034],2010,"syahidervi 10, 9 and 1",3.625,Reserved Forest (RF),24-08-2015,"DFO Almora , Almora",5052,
Haryana,6,Sirsa,Sirsa,"APP. RD. TO RETAIL OUTLET OF HPCL ON SIRSA-JAMAL RD. NEAR KM. STONE 10, AT VII. DHINGTANIA,. [19125]",2008,Sirsa-Jamal road Km. 10 R/s at village Dhingtania,0.009,Protected Forest (PF),04-07-2015,Sirsa,4240,
West Bengal,19,Bankura South Division,Indpur,DIVERSION OF 14.3117 HA OF FOREST LAND FOR CONSTRUCTION OF BANKURA-MUKUTMANIPUR BROAD GAUGE RAILWAY LINE BY SE RAILWAY [31178],2010,Mouza - Chakaltasahar & Tunamara,4.975,Protected Forest (PF),25-01-2017,DFO Bankura South Division,8353,
Punjab,3,Jalandhar,Jalandhar,"APPROACH ROAD TO THE RETAIL OUTLET OF HPCL ON JALANDHAR-KAPURTHALA ROAD KM. 6-7, L/S AT VILLAGE MAND [20268]",2010,"THE RETAIL OUTLET OF HPCL ON JALANDHAR-KAPURTHALA ROAD KM. 6-7, L/S AT VILLAGE MAND",0.087,Protected Forest (PF),18-07-2017,DFO Jalandhar,9281,
Uttar Pradesh,9,Social Forestry Division Allahabad,Prayag,Permission for non-forestry use of 0.0874 ha protected forest land in Allahabad district for construction of 400 KVS / C Singrauli Allahabad transmiss [40572],2016,Permission for non-forestry use of 0.0874 ha protected forest land in Allahabad district for constru,0.087,Protected Forest (PF),15-02-2021,DFO Social Forestry Division Allahabad,11757,
Karnataka,29,Hassan,Belur,"Diversion of 25.254 ha of Somari Gudda State Forest in Belur Tq Hassan Division for establishment of 25.50 MW, WPP in f/o Suzlon Energy Limited, B'lor [2360]",2006,Somari Gudda SF in Belur Taluk.,25.254,State Forest,13-07-2022,DFO Hassan,13723,
Gujarat,24,Sabarkantha-South,Shamalaji,MERU MINOR IRRIGATION PROJECT [14461],1982,MERU IRRIGATION PROJECT,2.55,Unclassified Forest,10-03-2015,DFO Sabarkantha-South,2843,
Odisha,21,Keonjhar,Champua,Khandbandh Iron Ore Mines,2021,Khandbandh Iron Ore Mines of M/s OMC Ltd,209.973,Deemed Forest,27-10-2021,DFO Keonjhar,12579,
Andhra Pradesh,28,Chittor West,Chittor West,MINING LEASE FOR EXTRACTION OF BLACK GRANITE IN FAVOUR OF M/S JYOTHEESWARAN GRANITES IN RAGIMENUPENTA RF OF KANTHALACHERUVU(V) [26650],2007,Compt No 209 Gondivandlavooru Village Ragimenupenta RF,2.25,Reserved Forest (RF),25-11-2015,DFO Chittor West,6749,
Punjab,3,Pathankot,Pathankot,Div of 2.09 ha of forest land for construction of 220 k.v transmission line from 220 k.v s/s Sarna to Railway Sub station Sujanpur under Forest Divisi [31720],2014,Sarna to Railway Sub station Sujanpu,2.09,Protected Forest (PF),26-11-2015,DFO Pathankot,6750,
Punjab,3,Amritsar,Patti,CONST OF 66 KV TR. LINE FROM MARHI-MEGHA TO NARLI [21798],2001,"Harike Khalra road,Border Drain and Minor",0.139,Protected Forest (PF),26-10-2016,DFO Amritsar,8035,
Andaman And Nicobar Islands,35,Baratang,Nilambur,Rural Road from Rajatgarh village to Warafter's Creek [26504],2013,Jarwa Creek and Wrafters Creek Reserve Forest Area,3.01,Reserved Forest (RF),15-02-2021,Administrator,11787,
Uttarakhand,5,"Deputy Director , Rajaji National Park","RO Motichur, RNP",220 KV RISHIKESHNARA LINE [13233],1992,"Danda,motichur,Koelpura ,Bahera block",3.381,Reserved Forest (RF),27-08-2015,"Deputy Director , Rajaji National Park",5139,
Odisha,21,Bonai,Koira,Proposed approach road from NH 520 to Kamanda Steel Plan of Rungta Mines Ltd. [40372],2018,Kusumdihi VIllage,0.28,Revenue Forest,04-02-2021,DFO Bonai,11640,
Uttar Pradesh,9,Social Forestry Division Bareilly,Faridpur,"PROPOSAL FOR DIVERSION OF FOREST LAND FOR WIDENING OF NH-24 IN DISTRICT LAKHIMPUR KHERI 32.35HA. HARDOI 12.13, BAREILLY 34.409 HA (TOTAL 78.889 HA.) O [23298]",2012,Bareilly Sitapur marg km 262-288,34.409,Protected Forest (PF),21-09-2018,DFO Social Forestry Division Bareilly,10635,
Himachal Pradesh,2,Kullu,Kullu,"Jhalora Saujuni road, Kullu Ft.Divn.663 [5695]",2005,RAISON,2.296,Unclassified Forest,03-02-2016,DFO Kullu,7249,
Uttar Pradesh,9,Social Forestry Division Basti,Basti,WIDENING OF 4 LANING IN KM.143.00 TO 240.600 OF NH-28 [23806],2005,SONAHA-SAHPUR MARG KM 0-4,0,Protected Forest (PF),13-02-2015,DFO Social Forestry Division Basti,3356,
Uttar Pradesh,9,Social Forestry Division Ballia,Belthara Road,PATNA-BALIA TRANSMISION LINE BY POWER GRID CORP. OF INDIA LTD. (0.5060 HA.) [23651],2007,Nagra Mau Marg Km. 15-16,0.037,Protected Forest (PF),26-09-2014,DFO Social Forestry Division Ballia,2088,
Punjab,3,Jalandhar,Jalandhar,"APP. RD. TO AGRICULTRE LAND ON JALANDHAR BRANCH CANAL RD. 225-26 R/S, ADAMPUR-BHOGPUR RD. [20680]",2008,"APP. RD. TO AGRICULTRE LAND ON JALANDHAR BRANCH CANAL RD. 225-26 R/S, ADAMPUR-BHOGPUR RD.",0.015,Protected Forest (PF),26-07-2017,DFO Jalandhar,9348,
Uttarakhand,5,"DFO Tehri , New Tehri","RO Bhilangna , Tehri",BAHERA BHILANGANA HYDRO ELECTRIC PROJECT VILLAGE FALENDA [12143],2004,Bahera Beat,4.929,Reserved Forest (RF),15-10-2015,"DFO Tehri , New Tehri",6298,
Tripura,16,District Forest Officer SOUTH,Hrishyamukh,Proposal for diversion of 1.56 Ha of forest land for exploration of hydrocarbon/ natural gas through drilling waste pit and approach road at location,2021,"GODD , South Tripura",1.56,Reserved Forest (RF),08-06-2022,TR State Admin,13578,
Uttarakhand,5,"DFO ,Kedarnath Wildlife Division","RO Dhanpur Range Gauchar , Kedarnath",KARNAPRAYAG JALOTSARAN PUMPINF STATION [3165],2010,KARANPRAYAG,0.02,Revenue Forest,23-11-2020,"DFO ,Kedarnath Wildlife Division",7055,
Uttarakhand,5,"DFO Almora , Almora","RO Almora , Almora","RURAL POLYTECHNIQUE, TAKULA [12833]",2009,takula,1.6,Protected Forest (PF),22-08-2015,"DFO Almora , Almora",5011,
Punjab,3,Bathinda,Bir Talab,"APP. RD. TO RETAIL OUTLET OF IOCL AT VILL. BANDI ON BANDI-MAHALON LINK RD., KM. 0-1 R/S,. [22013]",2008,"RETAIL OUTLET OF IOCL AT VILL. BANDI ON BANDI-MAHALON LINK RD., KM. 0-1 R/S,.",0.007,Protected Forest (PF),27-10-2015,DFO Bathinda,6393,
Punjab,3,SAS Nagar,Khamano,APP.RD. TO RETAIL OUTLET OF HPC. LTD. AT VILL. KHAMANO [22236],2007,RETAIL OUTLET OF HPC. LTD. AT VILL. KHAMANO,0.025,Protected Forest (PF),02-11-2015,DFO SAS Nagar,6522,
Tamil Nadu,33,Coimbatore,Coimbatore,Erection of 110kV DC line on DC Tower by Making LILO in Achrapakkam - Murukkeri 110kV feeder at Proposed Marakkanam 110/33kV SS,2020,74,1.65,Reserved Forest (RF),25-05-2022,DFO Coimbatore,13470,
Haryana,6,Hisar,Hansi,Diversion of forest land for construction of laying of PSC Pipe line Rising Main for providing external SWD Scheme in Zone-III [32481],2014,laying of PSC Pipe line Rising Main for providing external SWD Scheme in Zone-III,0.118,Protected Forest (PF),19-06-2019,DFO Hisar,10916,
Uttarakhand,5,"DFO Tehri , New Tehri","RO Balganga, Tehri",HAIRIBAND TO NOULVASAR LINK MOTOR ROAD (0.8775 HA.) [23216],2007,Civil Soyam land,0.878,Revenue Forest,30-10-2015,"DFO Tehri , New Tehri",6454,
Uttarakhand,5,"DFO Uttarkashi, Uttarkashi","RO barahat , Uttarkashi",CONSTRUCTION OF TEKHLA MAHIDANDA MOTOR ROAD [3532],1998,CONSTRUCTION OF TEKHLA MAHIDANDA MOTOR ROAD,5.39,Reserved Forest (RF),25-02-2016,"DFO Uttarkashi, Uttarkashi",7328,
Punjab,3,Patiala,Nabha,UPGRADATION OF NABHA - CHHINTAWALA RD. [22163],2007,UPGRADATION OF NABHA - CHHINTAWALA,0.32,Protected Forest (PF),17-08-2015,DFO Patiala,4818,
Uttarakhand,5,"DFO Ramnagar , Ramnagar","RO Kaladhungi , Ramnagar",GOVT LADIES POLY-TECHNIQUE KOTABAG [30769],2005,Gurani beat comptt. dechauri 1,2.023,Reserved Forest (RF),13-08-2015,"DFO Ramnagar , Ramnagar",4672,
Andhra Pradesh,28,Visakhapatnam,Visakhapatnam,Diversion of Forest land from Bayyavaram Reserve Forest for widening of NH-5 road 4 line by NHAI [410],2003,Bayyavaram Reserve Forest,1.88,Reserved Forest (RF),03-09-2021,RO Visakhapatnam,12415,
Haryana,6,Sirsa,Kalanwali,Diversion of 0.0036 Ha of forest land for access to Inder Prasth Resorts at Village Bupp along bupp Jhiri Road Km 1.00 L/side under forest Division & [31637],2014,Bupp-Jhiri road Km.1 L/s at village Bapp,0.004,Protected Forest (PF),04-07-2015,Kalanwali,4214,
Punjab,3,Patiala,Patiala,CONST.OF SLIP RD. AT MAIN GATE OF PUNJABI UIVERSITY PATIALA [22415],2006,MAIN GATE OF PUNJABI UIVERSITY PATIALA,0.26,Protected Forest (PF),01-09-2015,DFO Patiala,5356,
Punjab,3,Gurdaspur,Gurdaspur,APP. RD. TO RETAIL OUTLET ON GURDASPUR GALHARI RD. NOEAR VILL GANJA-DURRNGLAA MAGARMUDIAN [21235],2006,APP. RD. TO RETAIL OUTLET ON GURDASPUR GALHARI RD. NOEAR VILL GANJA-DURRNGLAA MAGARMUDIAN,0.011,Protected Forest (PF),20-03-2016,DFO Gurdaspur,7470,
Tripura,16,Kanchanpur,Vagmum,Diversion of 1.215 ha forest land for establishment of Border Out Post[BOP] by the BSF at Vijoy under Kanchanpur Forest Division.North District. [1157],2002,Establishment of Border Out Post[BOP] by the BSF at Vijoy.,1.215,Reserved Forest (RF),19-08-2014,TR State Admin,1846,
Uttarakhand,5,"DFO Bageshwar, Bageshwar","RO Bageshwar , Bageshwar",BAGEHSWAR JAULKANDE MOTOR ROAD (PMGSY PHASE-6) [3386],2008,PANDRAPALI CIVIL,6.75,CA Land Received under FCA Proposal,18-06-2015,"DFO Bageshwar, Bageshwar",4072,
Punjab,3,Ferozepur,Ferozepur,PASSAGE TO RETAIL OUTLET AT VILL. KILLI [22642],2005,Vill. Killi on FZR-FZK road 17-18 L/s,0.021,Protected Forest (PF),25-11-2014,DFO Ferozepur,2511,
Punjab,3,Patiala,Patiala,"diversion of 0.007904 ha of forest land permission for construction of Approach Access to Shop No. 2, Alipur Chowk, property of Mohinder Kumar on Nort [39622]",2019,Diversion of 0.007904 ha of forest land for construction of approach access to shop no. 2 of Prop. M,0.008,Protected Forest (PF),31-01-2021,DFO Patiala,11601,
Tamil Nadu,33,Theni,Cumban West,Laying of Optical Fibre Cable at Kombai RF [40450],1997,Kombai RF - Cumbum to Cumbum Mettu Road,0.234,Reserved Forest (RF),18-12-2020,DFO Theni,11432,
Punjab,3,Patiala,Patiala,"LAYING OF U/GROUND SEWERAGE PIPE LINEFOR NEW PUDA COMPLEX, JAIL ROAD PATIALA [21753]",2002,"LAYING OF U/GROUND SEWERAGE PIPE LINEFOR NEW PUDA COMPLEX, JAIL ROAD PATIALA",0.33,Protected Forest (PF),23-11-2015,DFO Patiala,6743,
Rajasthan,8,DCF Tonk,RANGE NIWAI,ISRDA DRINKING WATER PROJECT,2013,Kasba Niwai,35,CA Land Received under FCA Proposal,10-11-2021,DFO DCF Tonk,12607,
Tamil Nadu,33,Nilgiris North,Coonoor,Construction of Check Dam Ground level Reservoir (5) and lay pipeline Black Bridge RF Coonoor Udhagamandalam Nilgiris (North) [31917],1993,Black Bridge RF Coonoor Udhagamandalam Nilgiris (North),0.02,Reserved Forest (RF),09-12-2020,DFO Nilgiris North,11428,
Tamil Nadu,33,Dharmapuri,Hogenakkal,"RENEWAL OF LEASE FOR HOGENAKKAL WATER SUPPLY IN DHARMAPURI FOREST DIVISION, PENNAGARAM RANGE IN FAVOUR OF EXECUTIVE ENGINEER, TWAD BOARD - 12.75 HA. [25999]",2010,Hogenakkal,12.75,Reserved Forest (RF),19-04-2017,DFO Dharmapuri,9053,
Tripura,16,Sadar,Boxanagar,Diversion of 0.535 ha of forest land for under ground Gas Pipe Line G.C.S. Rokhia to Brick Kiln. Under Sadar Forest Division. West Tripura District. [2124],1992,Under ground Gas Pipe Line G.C.S. Rokhia to Brick Kiln.,0.535,Reserved Forest (RF),05-02-2013,Administrator,806,
Uttar Pradesh,9,Social Forestry Division Bijnor,Chandpur,Natinal highway- 119 meerut- najibabad divison four lane widening and purification in district bijnor km 79.5002105.700 till 34 Hectair use of protec [40531],2017,Salempur Forest Block,19,Reserved Forest (RF),19-02-2021,DFO Social Forestry Division Bijnor,11887,
Punjab,3,Sangrur,Barnala,Arc Bio Fuel Pvt Ltd.,2017,Arc Bio Fuel Pvt Ltd.,0.012,Protected Forest (PF),23-11-2021,DFO Sangrur,12672,
Maharashtra,27,Nagpur,Katol,CONSTRUCTION OF R)B NEAR KATOL RAILWAY STATION ON NAGPUR -KATOL IN FAVOUR OF PUBLIC WORKS DEPARTMENT [9793],2011,DIST NAGPUR TALUKA KATOL VILLAGE SANGAMA SURVEY NO 53,0.12,Revenue Forest,30-01-2016,Nagpur,7192,
Haryana,6,Bhiwani(West Circle Hissar),Lohara,"CONSTRUCTION OF APPROACH TO PETROL PUMP ON SIWANI TO BHIWANI ROAD, KM. 33-34 [28670]",2001,"Siwani To Bhiwani Road, Km. 33-34",0.013,Protected Forest (PF),29-09-2020,DFO Bhiwani(West Circle Hissar),8404,
Punjab,3,Jalandhar,Nakodar,RETAIL OUTLET AT TASPUR GIDDER PINDI ROAD KM 51-52 R/S FD JALANDHAR [21338],2005,RETAIL OUTLET AT TASPUR GIDDER PINDI ROAD KM 51-52 R/S FD JALANDHAR,0.024,Protected Forest (PF),14-07-2017,DFO Jalandhar,9186,
Punjab,3,Hoshiarpur,Hoshiarpur,Diversion of 0.0042 Ha. (instead of 0.0063 ha) of Forest Land for construction of approach road to Rayat and Bahra Educational Institute at Village Bo [37664],2009,Diversion of 0.0042 Ha. (instead of 0.0063 ha) of Forest Land for construction of approach road to R,0.004,Protected Forest (PF),06-09-2018,DFO Hoshiarpur,10601,
Maharashtra,27,Gondia,Gondia,GONDIA-BALAGHAT BG (CONVERSION)RAILWAY LINE [9474],2000,"Gut No. 124/1, 122, 123, 65, 66",1,Revenue Forest,16-02-2017,Gondia,8685,
Himachal Pradesh,2,Rampur,Bahli,"Sechi Small HEP, const of 33 KV transmission line from Sechi to HPSEB Sub Station at Kolta. [6325]",2019,C-143,3,Unclassified Forest,20-03-2016,DFO Rampur,7459,
Uttar Pradesh,9,Social Forestry Division Basti,Khalilabad,WIDENING OF 4 LANING IN KM.143.00 TO 240.600 OF NH-28 [23806],2005,UTRAWAL-CHAURI KM. 1-4,0,Proposed Protected Forest (Proposed PF),31-12-2014,DFO Social Forestry Division Basti,2890,
Tamil Nadu,33,Coimbatore,Coimbatore,Test Training Purpose,2019,7,10.12,Reserved Forest (RF),25-05-2022,DFO Coimbatore,13447,
Tamil Nadu,33,Tiruvallur,Gummidipoondi,laying 11 kv feeder line and connection of poles [31842],2014,PALAVAKKAM RESERVE FOREST,0.048,Reserved Forest (RF),02-11-2020,DFO Tiruvallur,11202,
Tamil Nadu,33,Dindigul,Dindigul,Diversion of forest land 0.293 ha for construction of irrigation Dam across Ramakkal Odai in Sirumalai Range in Dindigul Range. [31281],2004,A. Vellodu RF,0,Reserved Forest (RF),11-08-2017,DFO Dindigul,9539,
Uttarakhand,5,"DFO Champawat , Champawat","RO Champawat , Champawat",CONST OF BUILDINGS OF POLICE DEPTT. [11337],2002,DUNGRASETHI CIVIL,0.6,Revenue Forest,31-08-2015,"DFO Champawat , Champawat",5316,
Uttar Pradesh,9,Social Forestry Division Moradabad,Moradabad,CONST.OF SLIP ROAD ON NH-24 -MORADABAD BYEPASS [23950],2001,Area lies on NH-24 between Moradabad Bypass and Moradabad-Sambhal Road,0.03,Protected Forest (PF),21-12-2014,DFO Social Forestry Division Moradabad,2738,
Punjab,3,Sangrur,Malerkotla,"PASSEGE TO KEROSENE PUMP ON DHURI-BANGRIAN ROAD KM. 1-2,R/S [20943]",2000,DHURI BAGRIAN RD KM 1-2 RS,0.004,CA Land Received under FCA Proposal,01-08-2016,DFO Sangrur,7859,
Uttarakhand,5,"DFO Rudraprayag , Rudraprayag","RO south Jakholi , Rudraprayag",ANTHOLI SILGAON SAKYANA MOTOR ROAD UNDER PMGSY(PHASE-6) [11367],2010,"Jakhal C.No.-4 A, 4 B, Jakhal C.No.-5, 6, 9, 10",1.463,Reserved Forest (RF),26-06-2015,"DFO Rudraprayag , Rudraprayag",4143,
Uttarakhand,5,"DFO Badrinath, Gopeshwar","RO East Pindar, badrinath",DIVERSION OF F/L FOR ICCHAULI CANAL [2932],1990,icchauli,0.096,Protected Forest (PF),01-01-2021,"DFO Badrinath, Gopeshwar",4508,
Haryana,6,Jhajjar(Central Rohtak),Matanhail,UPGRADATION OF ROAD FROM JHARLI TO MOHANBARI UNDER FT. DIVN. JHAJJAR [18503],2010,"Jharli to Mohanbari Road, L&R",0.938,Protected Forest (PF),25-02-2017,DFO Jhajjar(Central Rohtak),8828,
Uttarakhand,5,"DFO Rudraprayag , Rudraprayag","RO Agastyamuni , Rudraprayag",BASTI-HAT MOTOR ROAD UNDER PMGSY (3.731) [11287],2007,"Biro, Pali, Dalsingi, Neli, Arkhund, Kund, Hat",1.305,Revenue Forest,08-05-2015,"DFO Rudraprayag , Rudraprayag",3895,
